,Bus_Route_Name,Bus_Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Available
0,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 168821,Bharat Benz A/C Seater (2+2),0 days 15:45:00,04h 45m,0 days 20:30:00,2.7,298.00,14
1,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 14:30:00,04h 00m,0 days 18:30:00,4.7,432.06,7
2,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 15:30:00,03h 45m,0 days 19:15:00,4.6,389.13,5
3,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 18:30:00,09h 15m,0 days 03:45:00,0.0,380.00,15
4,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Himalayan Travels,NON A/C Seater (2+2),0 days 23:40:00,04h 20m,0 days 04:00:00,2.2,450.00,21
5,Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 22:15:00,05h 30m,0 days 03:45:00,3.8,550.00,16
6,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),0 days 15:15:00,04h 00m,0 days 19:15:00,4.3,298.00,7
7,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),0 days 15:00:00,03h 40m,0 days 18:40:00,4.5,360.00,25
8,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,AC Seater (2+2),0 days 15:35:00,03h 40m,0 days 19:15:00,4.1,360.00,32
9,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),0 days 16:15:00,03h 25m,0 days 19:40:00,4.2,360.00,17
10,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON A/C Seater (2+1),0 days 18:00:00,05h 30m,0 days 23:30:00,3.4,400.00,10
11,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Yatra Travels,NON AC Seater/ Sleeper (2+1),0 days 20:00:00,04h 00m,0 days 00:00:00,3.6,400.00,8
12,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 20:15:00,05h 00m,0 days 01:15:00,3.4,450.00,11
13,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),0 days 20:45:00,05h 45m,0 days 02:30:00,3.4,500.00,18
14,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 21:15:00,04h 00m,0 days 01:15:00,3.5,450.00,23
15,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 21:45:00,04h 15m,0 days 02:00:00,3.9,450.00,32
16,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Mahalaxmi Travels,Tata A/C Seater (2+2),0 days 14:35:00,03h 55m,0 days 18:30:00,2.7,300.00,34
17,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Kalpana Travels,Non AC Seater (2+2),0 days 16:45:00,03h 45m,0 days 20:30:00,2.2,318.00,35
18,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Brindaban Travels,Non AC Seater (2+2),0 days 17:15:00,04h 00m,0 days 21:15:00,2.0,300.00,35
19,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 18:45:00,28h 45m,0 days 23:30:00,0.0,398.00,19
20,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 20:00:00,05h 15m,0 days 01:15:00,2.6,500.00,20
21,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Himalayan Travels,NON A/C Seater (2+2),0 days 20:30:00,06h 00m,0 days 02:30:00,0.0,450.00,26
22,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,KIRAN TRAVELS,A/C Seater (2+1),0 days 20:40:00,03h 50m,0 days 00:30:00,3.1,600.00,6
23,Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),0 days 21:30:00,05h 00m,0 days 02:30:00,4.1,550.00,12
24,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 16:00:00,02h 30m,0 days 18:30:00,4.8,324.04,3
25,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Chartered Bus - ASTC,Volvo AC Seater Pushback 2+2,0 days 17:00:00,02h 15m,0 days 19:15:00,4.3,377.79,5
26,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,PANKAJ TRAVELS,AC Seater (2+2),0 days 14:50:00,03h 00m,0 days 17:50:00,0.0,278.00,28
27,Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati,Christina Travels,NON A/C Seater (2+2),0 days 16:00:00,02h 20m,0 days 18:20:00,2.8,650.00,37
28,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 146079,Bharat Benz A/C Seater (2+2),0 days 15:00:00,03h 00m,0 days 18:00:00,3.7,191.00,1
29,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,Assam State Transport Corporation (ASTC) - 174839,Bharat Benz A/C Seater (2+2),0 days 15:15:00,02h 25m,0 days 17:40:00,3.9,191.00,6
30,Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 18:45:00,27h 05m,0 days 21:50:00,0.0,419.00,24
31,Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati,Yatra,Non AC Seater (2+2),0 days 20:15:00,07h 15m,0 days 03:30:00,2.8,350.00,39
32,North Lakhimpur to Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat,Priyanka,NON A/C Seater (2+1),0 days 17:30:00,11h 35m,0 days 05:05:00,3.4,600.00,4
33,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),0 days 20:00:00,08h 00m,0 days 04:00:00,3.8,550.00,13
34,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,NON AC Seater / Sleeper 2+1,0 days 20:00:00,08h 30m,0 days 04:30:00,3.3,550.00,8
35,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Puja Transport,Non AC Seater (2+2),0 days 20:00:00,09h 00m,0 days 05:00:00,2.4,550.00,17
36,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,J.S. Travels,Non AC Seater (2+1),0 days 21:00:00,07h 00m,0 days 04:00:00,2.3,550.00,32
37,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 23:00:00,06h 30m,0 days 05:30:00,2.5,550.00,6
38,Tezpur to Dibrugarh,https://www.redbus.in/bus-tickets/tezpur-to-dibrugarh,Neha Travels,NON A/C Seater (2+2),0 days 22:40:00,05h 50m,0 days 04:30:00,2.6,650.00,3
39,Haflong to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati,Deep Travels,Non AC Seater (2+1),0 days 17:45:00,10h 45m,0 days 04:30:00,4.0,650.00,10
40,Haflong to Guwahati,https://www.redbus.in/bus-tickets/haflong-to-guwahati,NETWORK TRAVELS,NON A/C Seater (2+1),0 days 18:00:00,10h 00m,0 days 04:00:00,4.5,700.00,5
41,North Lakhimpur to Dibrugarh,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,Air Bus Travels,NON AC Seater / Sleeper 2+1,0 days 21:00:00,06h 00m,0 days 03:00:00,3.5,400.00,25
42,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,NON AC Seater / Sleeper 2+1,0 days 20:00:00,09h 00m,0 days 05:00:00,4.1,550.00,15
43,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),0 days 20:00:00,08h 00m,0 days 04:00:00,3.0,550.00,4
44,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),0 days 18:45:00,08h 15m,0 days 03:00:00,0.0,600.00,15
45,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),0 days 19:50:00,08h 40m,0 days 04:30:00,3.0,470.00,28
46,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,J.S. Travels,Non AC Seater (2+1),0 days 19:00:00,09h 00m,0 days 04:00:00,2.7,500.00,11
47,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Puja Transport,Non AC Seater (2+2),0 days 19:15:00,08h 45m,0 days 04:00:00,2.9,550.00,22
48,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Neha Travels,NON A/C Seater (2+2),0 days 17:00:00,10h 15m,0 days 03:15:00,2.8,650.00,16
49,Dibrugarh to Tezpur,https://www.redbus.in/bus-tickets/dibrugarh-to-tezpur,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 18:15:00,07h 45m,0 days 02:00:00,2.8,550.00,15
50,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON A/C Seater (2+1),0 days 18:00:00,07h 30m,0 days 01:30:00,3.7,450.00,8
51,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),0 days 19:35:00,06h 25m,0 days 02:00:00,3.8,500.00,15
52,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Yatra Travels,NON AC Seater/ Sleeper (2+1),0 days 20:00:00,05h 00m,0 days 01:00:00,3.4,450.00,5
53,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 20:15:00,05h 45m,0 days 02:00:00,3.9,500.00,17
54,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),0 days 20:45:00,06h 45m,0 days 03:30:00,3.3,550.00,13
55,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,MAHARATHI TRANSPORT,NON A/C Semi Sleeper (2+1),0 days 20:55:00,05h 50m,0 days 02:45:00,3.8,400.00,9
56,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 21:15:00,05h 45m,0 days 03:00:00,4.2,500.00,23
57,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),0 days 21:30:00,06h 15m,0 days 03:45:00,4.1,550.00,9
58,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 21:45:00,05h 15m,0 days 03:00:00,3.9,500.00,17
59,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 18:45:00,29h 39m,0 days 00:24:00,0.0,448.00,19
60,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 20:00:00,06h 00m,0 days 02:00:00,1.9,550.00,27
61,Guwahati to Biswanath Charali,https://www.redbus.in/bus-tickets/guwahati-to-biswanath-charali,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),0 days 20:15:00,06h 15m,0 days 02:30:00,2.2,500.00,26
62,Guwahati to Haflong,https://www.redbus.in/bus-tickets/guwahati-to-haflong,NETWORK TRAVELS,NON A/C Seater (2+1),0 days 18:30:00,12h 30m,0 days 07:00:00,4.5,700.00,13
63,Guwahati to Haflong,https://www.redbus.in/bus-tickets/guwahati-to-haflong,Deep Travels,Non AC Seater (2+1),0 days 19:30:00,11h 00m,0 days 06:30:00,3.6,650.00,15
64,Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Air Bus Travels,NON AC Seater / Sleeper 2+1,0 days 19:40:00,05h 20m,0 days 01:00:00,2.4,400.00,21
65,Dibrugarh to North Lakhimpur,https://www.redbus.in/bus-tickets/dibrugarh-to-north-lakhimpur,Air Bus Travels,NON AC Seater / Sleeper 2+1,0 days 21:15:00,04h 45m,0 days 02:00:00,2.3,400.00,28
66,Tezpur to Moran,https://www.redbus.in/bus-tickets/tezpur-to-moran,Neha Travels,NON A/C Seater (2+2),0 days 22:40:00,05h 20m,0 days 04:00:00,1.9,650.00,1
67,Tezpur to Moran,https://www.redbus.in/bus-tickets/tezpur-to-moran,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 23:00:00,06h 00m,0 days 05:00:00,2.8,500.00,6
68,Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Trishul Transport Service,A/C Seater / Sleeper (2+1),0 days 19:15:00,03h 40m,0 days 22:55:00,3.6,509.00,19
69,Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),0 days 19:30:00,03h 45m,0 days 23:15:00,3.4,450.00,18
70,Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),0 days 19:55:00,04h 05m,0 days 00:00:00,3.4,540.00,10
71,Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 18:15:00,03h 15m,0 days 21:30:00,2.8,500.00,18
72,Dibrugarh to Jorhat,https://www.redbus.in/bus-tickets/dibrugarh-to-jorhat,Murugan RC Travels,Non AC Seater (2+1),0 days 18:55:00,04h 05m,0 days 23:00:00,2.6,338.00,21
73,Guwahati to Silchar,https://www.redbus.in/bus-tickets/guwahati-to-silchar,Assam State Transport Corporation (ASTC) - 146022,NON A/C Seater Push Back (2+1),0 days 17:45:00,11h 45m,0 days 05:30:00,3.8,547.00,26
74,Guwahati to Silchar,https://www.redbus.in/bus-tickets/guwahati-to-silchar,Deep Travels,Non AC Seater (2+1),0 days 20:00:00,09h 00m,0 days 05:00:00,3.7,499.00,13
75,Guwahati to Silchar,https://www.redbus.in/bus-tickets/guwahati-to-silchar,SEEMA TRAVELS,NON AC Seater / Sleeper 2+1,0 days 19:00:00,10h 00m,0 days 05:00:00,2.1,650.00,8
76,Guwahati to Silchar,https://www.redbus.in/bus-tickets/guwahati-to-silchar,RAYAN TRAVELS,NON A/C Seater (2+1),0 days 18:30:00,10h 45m,0 days 05:15:00,2.9,650.00,8
77,Guwahati to Silchar,https://www.redbus.in/bus-tickets/guwahati-to-silchar,Bholanath Travels,NON AC Seater / Sleeper 2+1,0 days 19:00:00,10h 00m,0 days 05:00:00,0.0,618.00,12
78,Guwahati to Silchar,https://www.redbus.in/bus-tickets/guwahati-to-silchar,Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),0 days 20:00:00,10h 00m,0 days 06:00:00,2.4,700.00,35
79,North Lakhimpur to Tezpur,https://www.redbus.in/bus-tickets/north-lakhimpur-to-tezpur,DESTINY TRAVELS,NON AC Seater / Sleeper 2+1,0 days 19:45:00,04h 00m,0 days 23:45:00,0.0,409.00,18
80,Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 21:30:00,06h 15m,0 days 03:45:00,3.8,550.00,14
81,Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,Pranjit Travels (Under ASTC),Non AC Seater (2+1),0 days 23:15:00,06h 15m,0 days 05:30:00,3.8,500.00,1
82,Biswanath Charali to Guwahati,https://www.redbus.in/bus-tickets/biswanath-charali-to-guwahati,DESTINY TRAVELS,NON AC Seater / Sleeper 2+1,0 days 23:01:00,04h 44m,0 days 03:45:00,0.0,428.00,18
83,Biswanath Charali to Dibrugarh,https://www.redbus.in/bus-tickets/biswanath-charali-to-dibrugarh,Air Bus Travels,NON AC Seater / Sleeper 2+1,0 days 18:30:00,07h 30m,0 days 02:00:00,3.3,500.00,14
84,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,NETWORK TRAVELS,NON A/C Seater Push Back (2+1),0 days 19:00:00,05h 30m,0 days 00:30:00,4.6,300.00,15
85,Tinsukia to Jorhat,https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),0 days 18:30:00,05h 30m,0 days 00:00:00,2.7,567.00,10
86,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),0 days 21:00:00,07h 00m,0 days 04:00:00,3.5,550.00,5
87,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),0 days 20:45:00,07h 45m,0 days 04:30:00,2.6,520.00,50
88,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur,SANJEEBANI TRAVELS,Non A/C Seater / Sleeper (2+1),0 days 20:15:00,06h 45m,0 days 03:00:00,0.0,600.00,15
89,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 19:00:00,07h 00m,0 days 02:00:00,2.8,500.00,26
90,Moran to Tezpur,https://www.redbus.in/bus-tickets/moran-to-tezpur,Neha Travels,NON A/C Seater (2+2),0 days 18:00:00,09h 15m,0 days 03:15:00,2.4,650.00,21
91,Dibrugarh to Biswanath Charali,https://www.redbus.in/bus-tickets/dibrugarh-to-biswanath-charali,Air Bus Travels,NON AC Seater / Sleeper 2+1,0 days 19:40:00,09h 20m,0 days 05:00:00,3.9,500.00,19
92,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Maharathi Travels(UNDER ASTC),NON A/C Seater (2+1),0 days 22:10:00,07h 20m,0 days 05:30:00,4.1,400.00,10
93,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),0 days 23:05:00,06h 55m,0 days 06:00:00,4.6,620.00,4
94,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Yatra Travels,NON AC Seater/ Sleeper (2+1),0 days 22:20:00,07h 40m,0 days 06:00:00,4.4,450.00,8
95,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),0 days 22:45:00,07h 30m,0 days 06:15:00,3.9,650.00,4
96,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,DESTINY TRAVELS,NON AC Seater / Sleeper 2+1,0 days 21:30:00,06h 15m,0 days 03:45:00,0.0,475.00,18
97,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,BLUE HILL TRAVELS INDIA LIMITED,NON A/C Seater Semi Sleeper (2+1),0 days 20:15:00,07h 30m,0 days 03:45:00,4.0,550.00,21
98,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,PARIJAT TRAVELS(UNDER ASTC),NON A/C Seater (2+1),0 days 23:11:00,07h 19m,0 days 06:30:00,3.2,500.00,9
99,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Drishti Travels,NON A/C Seater (2+1),0 days 21:00:00,08h 30m,0 days 05:30:00,3.0,432.00,5
100,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Island Travels (Under ASTC),Non AC Seater (2+1),0 days 22:45:00,07h 00m,0 days 05:45:00,3.7,450.00,9
101,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,GURUNANAK TRAVELS,NON A/C Seater (2+1),0 days 21:00:00,08h 00m,0 days 05:00:00,3.1,500.00,14
102,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Drishti Travels,NON A/C Seater (2+1),0 days 21:00:00,08h 30m,0 days 05:30:00,2.7,432.00,23
103,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Pranjit Travels (Under ASTC),NON A/C Seater (2+1),0 days 22:15:00,07h 15m,0 days 05:30:00,4.1,570.00,13
104,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,Yatra Travels,NON AC Seater/ Sleeper (2+1),0 days 22:35:00,07h 40m,0 days 06:15:00,4.1,450.00,8
105,Gohpur to Guwahati,https://www.redbus.in/bus-tickets/gohpur-to-guwahati,NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),0 days 20:00:00,10h 00m,0 days 06:00:00,3.2,500.00,24
106,Tinsukia to Tezpur,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),0 days 18:30:00,09h 30m,0 days 04:00:00,3.3,550.00,5
107,Tinsukia to Tezpur,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,Puja Transport,NON AC Seater / Sleeper 2+1,0 days 18:30:00,10h 30m,0 days 05:00:00,3.6,600.00,15
108,Tinsukia to Tezpur,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,J.S. Travels,Non AC Seater (2+1),0 days 17:30:00,10h 30m,0 days 04:00:00,3.1,550.00,11
109,Tinsukia to Tezpur,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,Puja Transport,Non AC Seater (2+2),0 days 17:30:00,10h 30m,0 days 04:00:00,3.1,600.00,21
110,Tinsukia to Tezpur,https://www.redbus.in/bus-tickets/tinsukia-to-tezpur,PIHU TRANSPORT,Bharat Benz NON A/C Seater / Sleeper (2+1),0 days 18:00:00,10h 30m,0 days 04:30:00,2.0,500.00,24
111,Bokakhat to Dibrugarh,https://www.redbus.in/bus-tickets/bokakhat-to-dibrugarh,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),0 days 23:15:00,04h 45m,0 days 04:00:00,2.9,550.00,7
112,Tezpur to North Lakhimpur,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,DESTINY TRAVELS,NON A/C Seater (2+1),0 days 23:30:00,04h 15m,0 days 03:45:00,0.0,428.00,16
113,Tezpur to Tinsukia,https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Aniruddha Travels,NON A/C Seater/ Sleeper (2+1),0 days 20:00:00,08h 45m,0 days 04:45:00,3.4,550.00,7
114,Tezpur to Tinsukia,https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Puja Transport,Non AC Seater (2+2),0 days 20:00:00,10h 00m,0 days 06:00:00,3.6,550.00,12
115,Tezpur to Tinsukia,https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Puja Transport,NON AC Seater / Sleeper 2+1,0 days 20:00:00,09h 30m,0 days 05:30:00,2.3,600.00,10
116,Tezpur to Tinsukia,https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,J.S. Travels,Non AC Seater (2+1),0 days 21:00:00,09h 30m,0 days 06:30:00,2.0,550.00,32
117,Tezpur to Tinsukia,https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 23:00:00,09h 00m,0 days 08:00:00,2.4,550.00,7
118,Tezpur to Tinsukia,https://www.redbus.in/bus-tickets/tezpur-to-tinsukia,Neha Travels,NON A/C Seater (2+2),0 days 22:40:00,06h 50m,0 days 05:30:00,1.1,650.00,1
119,Dibrugarh to Bokakhat,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Baikuntha Transport Service,Bharat Benz A/C Seater /Sleeper (2+1),0 days 19:30:00,05h 30m,0 days 01:00:00,3.9,540.00,16
120,Dibrugarh to Bokakhat,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Purple Wings Coaches,A/C Seater / Sleeper (2+1),0 days 19:55:00,05h 05m,0 days 01:00:00,3.4,585.00,11
121,Dibrugarh to Bokakhat,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Shree Ram Travels,Bharat Benz A/C Seater /Sleeper (2+1),0 days 20:45:00,04h 55m,0 days 01:40:00,4.8,530.00,11
122,Dibrugarh to Bokakhat,https://www.redbus.in/bus-tickets/dibrugarh-to-bokakhat,Maa Laxmi,NON A/C Seater Push Back (2+1),0 days 18:15:00,28h 15m,0 days 22:30:00,2.8,500.00,26
123,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,0 days 21:15:00,04h 45m,0 days 02:00:00,3.2,676.00,28
124,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 166269,Express Non AC Seater 2+3,0 days 22:00:00,07h 55m,0 days 05:55:00,3.7,320.00,42
125,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,RSRTC - 166262,Express Non AC Seater 2+3,0 days 22:30:00,05h 55m,0 days 04:25:00,3.7,320.00,42
126,Chandigarh to Delhi,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,NueGo,Electric A/C Seater (2+2),0 days 20:00:00,05h 20m,0 days 01:20:00,4.1,348.00,19
